ORIGIN,DEST,timezone,size,color,group
ATL,BOS,America/New_York,10,#FF7F00,1
ATL,BWI,America/New_York,11,#FF7F00,1
ATL,CLT,America/New_York,10,#FF7F00,1
ATL,DAL,America/New_York,3,#FF7F00,1
ATL,DCA,America/New_York,10,#FF7F00,1
ATL,DEN,America/New_York,14,#FF7F00,1
ATL,DFW,America/New_York,13,#FF7F00,1
ATL,DTW,America/New_York,12,#FF7F00,1
ATL,EWR,America/New_York,7,#FF7F00,1
ATL,FLL,America/New_York,19,#FF7F00,1
ATL,HNL,America/New_York,1,#FF7F00,1
ATL,IAH,America/New_York,8,#FF7F00,1
ATL,JFK,America/New_York,6,#FF7F00,1
ATL,LAS,America/New_York,10,#FF7F00,1
ATL,LAX,America/New_York,14,#FF7F00,1
ATL,LGA,America/New_York,17,#FF7F00,1
ATL,MCO,America/New_York,18,#FF7F00,1
ATL,MDW,America/New_York,7,#FF7F00,1
ATL,MIA,America/New_York,13,#FF7F00,1
ATL,MSP,America/New_York,11,#FF7F00,1
ATL,ORD,America/New_York,9,#FF7F00,1
ATL,OTHER,America/New_York,278,#FF7F00,1
ATL,PDX,America/New_York,3,#FF7F00,1
ATL,PHL,America/New_York,12,#FF7F00,1
ATL,PHX,America/New_York,9,#FF7F00,1
ATL,SAN,America/New_York,5,#FF7F00,1
ATL,SEA,America/New_York,8,#FF7F00,1
ATL,SFO,America/New_York,8,#FF7F00,1
ATL,SLC,America/New_York,7,#FF7F00,1
ATL,TPA,America/New_York,15,#FF7F00,1
BOS,ATL,America/New_York,10,#FF7F00,1
BOS,BWI,America/New_York,10,#FF7F00,1
BOS,CLT,America/New_York,8,#FF7F00,1
BOS,DAL,America/New_York,1,#FF7F00,1
BOS,DCA,America/New_York,6,#FF7F00,1
BOS,DEN,America/New_York,5,#FF7F00,1
BOS,DFW,America/New_York,8,#FF7F00,1
BOS,DTW,America/New_York,6,#FF7F00,1
BOS,EWR,America/New_York,3,#FF7F00,1
BOS,FLL,America/New_York,11,#FF7F00,1
BOS,IAH,America/New_York,3,#FF7F00,1
BOS,JFK,America/New_York,11,#FF7F00,1
BOS,LAS,America/New_York,2,#FF7F00,1
BOS,LAX,America/New_York,8,#FF7F00,1
BOS,LGA,America/New_York,2,#FF7F00,1
