city,lat,lon,delay,number
Aberdeen,45.45,-98.42,32.0,733
Abilene,32.41,-99.68,52.0,157
Adak Island,51.88,-176.64,36.0,101
Akron,40.92,-81.44,29.0,5217
Albany,31.54,-84.19,26.0,999
Albany,42.75,-73.8,26.0,9236
Albuquerque,35.04,-106.61,35.0,18766
Alexandria,31.33,-92.55,30.0,2808
Allentown/Bethlehem/Easton,40.65,-75.44,31.0,2323
Alpena,45.08,-83.56,29.0,621
Amarillo,35.22,-101.71,25.0,3027
Anchorage,61.17,-150.0,29.0,17115
Appleton,44.26,-88.52,26.0,3307
Arcata/Eureka,40.98,-124.11,34.0,1361
Asheville,35.43,-82.54,30.0,3330
Aspen,39.22,-106.87,38.0,4347
Atlanta,33.64,-84.43,30.0,381303
Atlantic City,39.46,-74.58,38.0,3600
Augusta,33.37,-81.96,26.0,2624
Austin,30.25,-97.69,33.0,91652
Bakersfield,35.43,-119.06,24.0,2572
Baltimore,39.18,-76.67,33.0,94382
Bangor,44.81,-68.83,32.0,594
Barrow,71.28,-156.77,20.0,910
Baton Rouge,30.53,-91.15,32.0,6752
Beaumont/Port Arthur,29.95,-94.02,46.0,529
Bellingham,48.79,-122.54,29.0,596
Bemidji,47.51,-94.93,31.0,726
Bend/Redmond,44.25,-121.15,32.0,2733
Bethel,60.78,-161.84,22.0,957
Billings,45.81,-108.54,20.0,3371
Binghamton,42.21,-75.98,31.0,872
Birmingham,33.56,-86.75,28.0,12117
Bismarck/Mandan,46.77,-100.75,26.0,2328
Bloomington/Normal,40.48,-88.92,32.0,1500
Boise,43.56,-116.22,30.0,14570
Boston,42.36,-71.01,33.0,119388
Bozeman,45.78,-111.15,25.0,4208
Brainerd,46.4,-94.13,30.0,628
Bristol/Johnson City/Kingsport,36.48,-82.41,25.0,2142
Brownsville,25.91,-97.43,19.0,1987
Brunswick,31.26,-81.47,26.0,1016
Buffalo,42.94,-78.73,27.0,17663
Burbank,34.2,-118.36,37.0,22110
Burlington,44.47,-73.15,33.0,3887
Butte,45.95,-112.5,17.0,669
Casper,42.91,-106.46,19.0,1457
Cedar City,37.7,-113.1,27.0,625
Cedar Rapids/Iowa City,41.88,-91.71,29.0,4383
Charleston,32.9,-80.04,29.0,14325
Charleston/Dunbar,38.38,-81.59,34.0,2490
Charlotte,35.21,-80.95,35.0,109255
Charlottesville,38.14,-78.45,30.0,2348
Chattanooga,35.04,-85.2,33.0,4544
Chicago,41.88,-87.83,38.0,325508
Cincinnati,39.05,-84.67,30.0,15315
Cleveland,41.41,-81.85,30.0,33546
Cody,44.52,-109.02,29.0,910
College Station/Bryan,30.59,-96.36,20.0,1113
Colorado Springs,38.81,-104.7,34.0,8159
Columbia,33.94,-81.12,29.0,4363
Columbus,32.52,-84.94,31.0,1226
Columbus,33.45,-88.59,28.0,1005
Columbus,40.0,-82.89,30.0,22788
Cordova,60.49,-145.48,20.0,710
Corpus Christi,27.77,-97.5,24.0,2908
Dallas,32.85,-96.85,43.0,68100
Dallas/Fort Worth,32.9,-97.04,39.0,193297
Dayton,39.9,-84.22,27.0,6359
Daytona Beach,29.18,-81.06,21.0,1959
Deadhorse,70.2,-148.47,19.0,800
Denver,39.86,-104.67,35.0,222418
