city,lat,lon,delay,number
Aberdeen,45.45,-98.42,4,742
Abilene,32.41,-99.68,10,159
Adak Island,51.88,-176.64,-2,104
Akron,40.92,-81.44,2,5310
Albany,31.54,-84.19,3,1002
Albany,42.75,-73.8,-3,9339
Albuquerque,35.04,-106.61,4,18945
Alexandria,31.33,-92.55,4,2854
Allentown/Bethlehem/Easton,40.65,-75.44,4,2363
Alpena,45.08,-83.56,8,642
Amarillo,35.22,-101.71,0,3066
Anchorage,61.17,-150,-2,17243
Appleton,44.26,-88.52,0,3372
Arcata/Eureka,40.98,-124.11,9,1412
Asheville,35.43,-82.54,6,3393
Aspen,39.22,-106.87,9,4604
Atlanta,33.64,-84.43,2,384217
Atlantic City,39.46,-74.58,9,3686
Augusta,33.37,-81.96,3,2641
Austin,30.25,-97.69,3,92424
Bakersfield,35.43,-119.06,1,2599
Baltimore,39.18,-76.67,2,96161
Bangor,44.81,-68.83,4,609
Barrow,71.28,-156.77,-5,937
Baton Rouge,30.53,-91.15,9,6883
Beaumont/Port Arthur,29.95,-94.02,18,543
Bellingham,48.79,-122.54,0,606
Bemidji,47.51,-94.93,4,729
Bend/Redmond,44.25,-121.15,7,2784
Bethel,60.78,-161.84,-5,976
Billings,45.81,-108.54,-3,3408
Binghamton,42.21,-75.98,5,876
Birmingham,33.56,-86.75,2,12282
Bismarck/Mandan,46.77,-100.75,3,2375
Bloomington/Normal,40.48,-88.92,3,1514
Boise,43.56,-116.22,3,14694
Boston,42.36,-71.01,2,121172
Bozeman,45.78,-111.15,-1,4247
Brainerd,46.4,-94.13,4,638
Bristol/Johnson City/Kingsport,36.48,-82.41,3,2161
Brownsville,25.91,-97.43,-1,2035
Brunswick,31.26,-81.47,3,1032
Buffalo,42.94,-78.73,1,18001
Burbank,34.2,-118.36,5,22490
Burlington,44.47,-73.15,6,4035
Butte,45.95,-112.5,-2,674
Casper,42.91,-106.46,-3,1473
Cedar City,37.7,-113.1,-2,626
Cedar Rapids/Iowa City,41.88,-91.71,3,4451
Charleston,32.9,-80.04,3,14653
Charleston/Dunbar,38.38,-81.59,7,2545
Charlotte,35.21,-80.95,3,110617
Charlottesville,38.14,-78.45,8,2400
Chattanooga,35.04,-85.2,9,4587
Chicago,41.88,-87.83,6,331369
Cincinnati,39.05,-84.67,3,15524
Cleveland,41.41,-81.85,2,34075
Cody,44.52,-109.02,1,921
College Station/Bryan,30.59,-96.36,-3,1127
Colorado Springs,38.81,-104.7,6,8278
Columbia,33.94,-81.12,5,4429
Columbus,32.52,-84.94,3,1235
Columbus,33.45,-88.59,5,1013
Columbus,40,-82.89,1,23115
Cordova,60.49,-145.48,-8,723
Corpus Christi,27.77,-97.5,-1,2960
Dallas,32.85,-96.85,7,68872
Dallas/Fort Worth,32.9,-97.04,8,195780
Dayton,39.9,-84.22,2,6487
Daytona Beach,29.18,-81.06,1,1979
Deadhorse,70.2,-148.47,-8,829
Denver,39.86,-104.67,3,225895
Des Moines,41.53,-93.66,2,7779
Detroit,42.21,-83.35,2,123879
Devils Lake,48.12,-98.91,4,596
Dillingham,59.04,-158.51,-2,84
Dothan,31.32,-85.45,6,1376
Duluth,46.84,-92.19,7,2468
Durango,37.16,-107.74,7,1956
