Code,CARRIER,MONTH,DAY_OF_WEEK,NUMBER_OF_FLIGHTS,DISTANCE,AIR_TIME,DEP_DELAY,ARR_DELAY,TAXI_IN,TAXI_OUT
AA,American Airlines Inc.,1,1,9804,1004.0,136.0,9.0,4.0,9.0,18.0
AA,American Airlines Inc.,1,2,9369,963.0,132.0,5.0,-0.0,8.0,18.0
AA,American Airlines Inc.,1,3,9964,962.0,132.0,4.0,-1.0,9.0,18.0
AA,American Airlines Inc.,1,4,10148,978.0,134.0,6.0,1.0,9.0,18.0
AA,American Airlines Inc.,1,5,11831,1005.0,137.0,7.0,2.0,9.0,18.0
AA,American Airlines Inc.,1,6,10020,1057.0,142.0,9.0,3.0,8.0,17.0
AA,American Airlines Inc.,1,7,11600,1027.0,139.0,10.0,5.0,9.0,18.0
AA,American Airlines Inc.,2,1,12290,993.0,135.0,7.0,3.0,9.0,19.0
AA,American Airlines Inc.,2,2,9565,972.0,133.0,7.0,4.0,9.0,19.0
AA,American Airlines Inc.,2,3,9782,973.0,134.0,7.0,4.0,9.0,19.0
AA,American Airlines Inc.,2,4,10203,987.0,134.0,4.0,-1.0,8.0,18.0
AA,American Airlines Inc.,2,5,10205,996.0,135.0,7.0,2.0,9.0,19.0
AA,American Airlines Inc.,2,6,8626,1055.0,141.0,3.0,-6.0,9.0,16.0
AA,American Airlines Inc.,2,7,9629,1022.0,138.0,5.0,-1.0,9.0,17.0
AA,American Airlines Inc.,3,1,10319,1001.0,136.0,8.0,4.0,9.0,19.0
AA,American Airlines Inc.,3,2,12627,986.0,135.0,7.0,3.0,9.0,18.0
AA,American Airlines Inc.,3,3,12711,989.0,136.0,7.0,3.0,9.0,18.0
AA,American Airlines Inc.,3,4,13035,1009.0,138.0,8.0,6.0,9.0,19.0
AA,American Airlines Inc.,3,5,10530,1013.0,138.0,8.0,5.0,9.0,19.0
AA,American Airlines Inc.,3,6,9016,1081.0,145.0,7.0,1.0,9.0,17.0
AA,American Airlines Inc.,3,7,10276,1038.0,140.0,7.0,2.0,9.0,17.0
AA,American Airlines Inc.,4,1,10216,998.0,135.0,5.0,1.0,9.0,18.0
AA,American Airlines Inc.,4,2,10057,984.0,134.0,2.0,-2.0,9.0,18.0
AA,American Airlines Inc.,4,3,10163,989.0,135.0,2.0,-2.0,9.0,18.0
AA,American Airlines Inc.,4,4,10282,1000.0,136.0,4.0,1.0,9.0,19.0
AA,American Airlines Inc.,4,5,12773,1002.0,137.0,10.0,8.0,9.0,19.0
AA,American Airlines Inc.,4,6,10769,1072.0,144.0,8.0,2.0,9.0,17.0
AA,American Airlines Inc.,4,7,9769,1033.0,139.0,9.0,4.0,9.0,18.0
AA,American Airlines Inc.,5,1,12933,999.0,136.0,7.0,4.0,9.0,18.0
AA,American Airlines Inc.,5,2,12654,991.0,135.0,8.0,6.0,9.0,19.0
AA,American Airlines Inc.,5,3,10232,990.0,135.0,8.0,6.0,9.0,19.0
